#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_f6b0e79dae7f_A1_KAPITEL_3_Audio_62_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- De Moto vun der Mam huet e Problem&#44; Monsieur.<br>- Mir mussen an de Garage fueren.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- The mom&#x27;s car has a problem&#44; sir.<br>- We must drive to the garage.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- De Moto vun der Mam huet e Problem&#44; Monsieur.<br>- Mir mussen an de Garage fueren.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_f6b0e79dae7f_A1_KAPITEL_3_Audio_62_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- The mom&#x27;s car has a problem&#44; sir.<br>- We must drive to the garage.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_5d045d47a680_A1_KAPITEL_3_Audio_62_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Bonjour&#44; hei ass d&#x27;Sekretariat vun der Madame Bertholet.<br>- Wéi kann ech Iech hëllefen?</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Hello&#44; this is the Madame Bertholet&#x27;s Secretariat.<br>- How can I help you?</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Bonjour&#44; hei ass d&#x27;Sekretariat vun der Madame Bertholet.<br>- Wéi kann ech Iech hëllefen?</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_5d045d47a680_A1_KAPITEL_3_Audio_62_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Hello&#44; this is the Madame Bertholet&#x27;s Secretariat.<br>- How can I help you?</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_9c9d5f0e12c9_A1_KAPITEL_3_Audio_62_003.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Drei.<br>- Ee Moment&#44; ech sinn an zwou Minutte bei de Schmotzpotzen.<br>- Véier.<br>- Hues du däin neie Programm schonn installéiert?<br>- Jo&#44; en ass op all de Computeren am Gebai an e funktionéiert gutt.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Three.<br>- One Moment&#44; I am in two minutes at the greasepots.<br>- Four.<br>- Have you installed your new program yet?<br>- Yes&#44; it is on all the computers in the building and it works well.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Drei.<br>- Ee Moment&#44; ech sinn an zwou Minutte bei de Schmotzpotzen.<br>- Véier.<br>- Hues du däin neie Programm schonn installéiert?<br>- Jo&#44; en ass op all de Computeren am Gebai an e funktionéiert gutt.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_9c9d5f0e12c9_A1_KAPITEL_3_Audio_62_003.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Three.<br>- One Moment&#44; I am in two minutes at the greasepots.<br>- Four.<br>- Have you installed your new program yet?<br>- Yes&#44; it is on all the computers in the building and it works well.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8ef84fadae5c_A1_KAPITEL_3_Audio_62_004.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Fënnef.<br>- Madame Direktär&#44; hei ass de Bilan vum läschte Joer.<br>- Op der Statistik gesitt Dir eis Resultater ...<br>- Sechs.<br>- Gudde Moien&#44; ech hunn e Rendez-vous bei der Madame Reuter.<br>- Dat ass um éischte Stack.<br>- Haut trappen erop an dann no lénks.<br>- Merci.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Five.<br>- Madam Director&#44; here is the balance sheet for the last year.<br>- In the statistics you see our results ...<br>- Six.<br>- Good morning&#44; I have an appointment with Madame Reuter.<br>- That is on the first floor.<br>- Step up now and then to the left.<br>- Thank you.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Fënnef.<br>- Madame Direktär&#44; hei ass de Bilan vum läschte Joer.<br>- Op der Statistik gesitt Dir eis Resultater ...<br>- Sechs.<br>- Gudde Moien&#44; ech hunn e Rendez-vous bei der Madame Reuter.<br>- Dat ass um éischte Stack.<br>- Haut trappen erop an dann no lénks.<br>- Merci.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8ef84fadae5c_A1_KAPITEL_3_Audio_62_004.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Five.<br>- Madam Director&#44; here is the balance sheet for the last year.<br>- In the statistics you see our results ...<br>- Six.<br>- Good morning&#44; I have an appointment with Madame Reuter.<br>- That is on the first floor.<br>- Step up now and then to the left.<br>- Thank you.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8192495139bd_A1_KAPITEL_3_Audio_62_005.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Jos&#44; komm wéinstens Du packen?<br>- Ech sinn um Telefon.<br>- Ech kommen direkt.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Jos&#44; komm wéinstens Du packen?<br>- I am on the phone.<br>- I come directly.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Jos&#44; komm wéinstens Du packen?<br>- Ech sinn um Telefon.<br>- Ech kommen direkt.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8192495139bd_A1_KAPITEL_3_Audio_62_005.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Jos&#44; komm wéinstens Du packen?<br>- I am on the phone.<br>- I come directly.</div></div>
