#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_d6b98c31df6e_B1_KAPITEL_4_B1_AUDIO_80_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lauschtet Texte a notert eire Folge vun de Biller.<br>- Am Kader vun eiser Emissioun Schaffen zu Letzebuerg hunn mir Representativ Vertrieberstfeld zu Letzebuerg zeschtleit gevrot fir appes iwer theren Ärbetsberäsch zu erzielen.<br>- Eend.<br>- Ech sinn Expertin an Schaffen schon fidel 50 Joar an der Santédsewese.<br>- An meinem Schaffen mischen ich mich bei Letzebuerg siebald russisch dousandsleit an gesondetsewese beschäftigt.<br>- Et is aber leicht&#44; wenn nur 20 von Dalyen an einem Majors Beruf verfund&#44; weil ein Chirurgien&#44; Klinizitianpöten an auch viele Doktoren.<br>- Viele ausländische Doktoren kommen just ebenfalls nach Letzebuerg für Spezialkonsultationen.<br>- Zenter der Devisteuridikadegäb kommen noch mal Leute für Chancen an Klinik.<br>- Das ist ein grosser Entlastung.<br>- Zwei.<br>- Ich bin ein Employé bei einer grossen Letzeburger Bank.<br>- Letzebuerg hat sich vom Land von der Stuhlindustrie zu einer wichtigen internationalen Finanzplatz entwickelt.<br>- An der Runde 140 Etablissimente vom Bankesektor schaffen ungefähr 26.000 Leute.<br>- Dofuner sind Männer wie Tauschenfrauen.<br>- Die meisten Banken sind deutsch.<br>- Da kommen die französisch&#44; chinesisch und schweizerisch.<br>- An der Lüge kommen die Letzebürgisch.<br>- Letzebuerg ist aber auch ein wichtiger Platz für Investmentfungen.<br>- Ein spezieller legaler Kader wurde möglich gemacht&#44; dass Letzeburg dafür europaweit auf erster Platz und weltweit auf zweiter Platz ist.<br>- Drei.<br>- Ich schaffe als französischprofessor an einem staatlichen Lycée.<br>- Der Enseignement zu Letzeburg ist zum größten Teil staatlich.<br>- Es gibt aber auch ein paar Privatschulen.<br>- Nicht jeder&#44; der für eine staatliche Schule arbeitet&#44; ist ein Staatsbeamter.<br>- Ungefähr 10.000 Enseignanten arbeiten an den Grundschulen und an den Lycéeen.<br>- An der Grundschule sind nicht viel mehr Frauen als Männer.<br>- Natürlich gibt es zu Letzeburg auch Bildung für Erwachsene&#44; wie die Gull National pour Adulte&#44; ENAD&#44; oder auch den Nationalen Sprocheinstitut ENL&#44; wo man Sprachen kann lernen.<br>- Außerdem hat Letzeburg 2002 eine Uni&#44; die mittlerweile international eine gute Rufheit.<br>- Vier.<br>- Mein Beruf als Bauer&#44; also Biobauer&#44; hat also Familienbetrieb.<br>- Es war nicht einfach&#44; als einen Betrieb auf Bio umzustellen.<br>- Prozeduras lang&#44; Kriterien und Kontrolle sind streng&#44; mit dem Landwirtschaftsministerium hilft man Beratung und Subventionen&#44; die ganz genieg geregelt sind.<br>- Das gilt auch für den Weibau.<br>- Trotzdem müssen wir als kleine selbstständige Betriebe viel schaffen&#44; um davon erleben zu können.<br>- Ich meine&#44; dafür sind auch nicht mehr knapp 6% von den Bauern auf zu Letzeburg biozertifiziert.<br>- Fünf.<br>- Ich arbeite auf der Post.<br>- Mehr dem Staat als Post&#44; der Urin etablissiemen publik ist&#44; der größte Patron&#44; also Employer zu Letzeburg.<br>- Post beschäftigt mehr als 4000 Leute von mehr als 40 Nationalitäten.<br>- Post bietet ein ganz paar traditionelle Stücke an.<br>- Das geht vom Postservice&#44; wie dem Verschicken von Briefen an Pack&#44; an dem Verteilen von den Dachszeitungen&#44; über Finanzservice und nicht zu vergessen Service am Telekommunikationsbereich.<br>- Außerdem gibt es auch noch spezielle Service für Leute&#44; die Tambre sammeln.<br>- Post gibt alljährlich ungefähr 30 Neutambren an Postkarten raus.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Listen to texts and note your sequence of the pictures.<br>- In the framework of our broadcast in Luxembourg we have appointed a representative trade field in Luxembourg to supervise for all work-related matters.<br>- End.<br>- I am an expert and have worked for fifty years in the sanitation sector.<br>- In my work I also mix in Luxembourg with a little Russian involvement in health care.<br>- It is easier&#44; though&#44; if only 20 of daily life are found in one major profession&#44; because a surgeon&#44; clinicians and also many doctors.<br>- Many foreign doctors also come to Luxembourg for special consultations.<br>- Center of the dispatching academy will bring in again people for opportunities in clinics.<br>- That is a big relief.<br>- Two.<br>- I am an employee at a large Luxembourg bank.<br>- Luxembourg has transformed from a country of the chair industry to an important international financial center.<br>- In around 140 establishments of the banking sector&#44; about 26&#44;000 people work.<br>- Of those&#44; there are men as well as women.<br>- Most banks are German.<br>- There are French&#44; Chinese and Swiss.<br>- And in the lie Luxembourgers come.<br>- Luxembourg is also an important place for investment funds.<br>- A special legal framework has made it possible for Luxembourg to be in first place in Europe and second worldwide.<br>- Three.<br>- I work as a French professor at a state Lycée.<br>- The education system in Luxembourg is mostly public.<br>- But there are also a few private schools.<br>- Not everyone who works for a public school is a civil servant.<br>- About 10&#44;000 teachers work in primary schools and Lycées.<br>- In primary school there are not many more women than men.<br>- Of course there is also adult education in Luxembourg&#44; such as the Gull National for Adults&#44; ENAD&#44; or the National Language Institute ENL&#44; where one can learn languages.<br>- Luxembourg also founded a university in 2002&#44; which now has a good international reputation.<br>- Four.<br>- My profession as a farmer&#44; i.e.&#44; organic farmer&#44; is a family business.<br>- It was not easy to convert a business to organic.<br>- Procedures long&#44; criteria and control are strict&#44; with the Ministry of Agriculture you receive advice and subsidies that are properly regulated.<br>- This also applies to the craft beer.<br>- Nevertheless&#44; we have to do a lot as small self-employed farms to be able to survive.<br>- I mean&#44; also almost 6% of farmers in Luxembourg are organic certified.<br>- Five.<br>- I work at the post office.<br>- More the state than the postal service&#44; which is publicly established&#44; the biggest patron&#44; i.e.&#44; employer in Luxembourg.<br>- The post employs more than 4000 people from more than 40 nationalities.<br>- The post offers a few traditional items.<br>- It covers postal service&#44; such as sending letters and parcels&#44; and distribution of daily newspapers&#44; as well as financial services and not to forget service in the telecommunications sector.<br>- There are also special services for people who collect stamps.<br>- The post issues about 30 new stamps the year.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lauschtet Texte a notert eire Folge vun de Biller.<br>- Am Kader vun eiser Emissioun Schaffen zu Letzebuerg hunn mir Representativ Vertrieberstfeld zu Letzebuerg zeschtleit gevrot fir appes iwer theren Ärbetsberäsch zu erzielen.<br>- Eend.<br>- Ech sinn Expertin an Schaffen schon fidel 50 Joar an der Santédsewese.<br>- An meinem Schaffen mischen ich mich bei Letzebuerg siebald russisch dousandsleit an gesondetsewese beschäftigt.<br>- Et is aber leicht&#44; wenn nur 20 von Dalyen an einem Majors Beruf verfund&#44; weil ein Chirurgien&#44; Klinizitianpöten an auch viele Doktoren.<br>- Viele ausländische Doktoren kommen just ebenfalls nach Letzebuerg für Spezialkonsultationen.<br>- Zenter der Devisteuridikadegäb kommen noch mal Leute für Chancen an Klinik.<br>- Das ist ein grosser Entlastung.<br>- Zwei.<br>- Ich bin ein Employé bei einer grossen Letzeburger Bank.<br>- Letzebuerg hat sich vom Land von der Stuhlindustrie zu einer wichtigen internationalen Finanzplatz entwickelt.<br>- An der Runde 140 Etablissimente vom Bankesektor schaffen ungefähr 26.000 Leute.<br>- Dofuner sind Männer wie Tauschenfrauen.<br>- Die meisten Banken sind deutsch.<br>- Da kommen die französisch&#44; chinesisch und schweizerisch.<br>- An der Lüge kommen die Letzebürgisch.<br>- Letzebuerg ist aber auch ein wichtiger Platz für Investmentfungen.<br>- Ein spezieller legaler Kader wurde möglich gemacht&#44; dass Letzeburg dafür europaweit auf erster Platz und weltweit auf zweiter Platz ist.<br>- Drei.<br>- Ich schaffe als französischprofessor an einem staatlichen Lycée.<br>- Der Enseignement zu Letzeburg ist zum größten Teil staatlich.<br>- Es gibt aber auch ein paar Privatschulen.<br>- Nicht jeder&#44; der für eine staatliche Schule arbeitet&#44; ist ein Staatsbeamter.<br>- Ungefähr 10.000 Enseignanten arbeiten an den Grundschulen und an den Lycéeen.<br>- An der Grundschule sind nicht viel mehr Frauen als Männer.<br>- Natürlich gibt es zu Letzeburg auch Bildung für Erwachsene&#44; wie die Gull National pour Adulte&#44; ENAD&#44; oder auch den Nationalen Sprocheinstitut ENL&#44; wo man Sprachen kann lernen.<br>- Außerdem hat Letzeburg 2002 eine Uni&#44; die mittlerweile international eine gute Rufheit.<br>- Vier.<br>- Mein Beruf als Bauer&#44; also Biobauer&#44; hat also Familienbetrieb.<br>- Es war nicht einfach&#44; als einen Betrieb auf Bio umzustellen.<br>- Prozeduras lang&#44; Kriterien und Kontrolle sind streng&#44; mit dem Landwirtschaftsministerium hilft man Beratung und Subventionen&#44; die ganz genieg geregelt sind.<br>- Das gilt auch für den Weibau.<br>- Trotzdem müssen wir als kleine selbstständige Betriebe viel schaffen&#44; um davon erleben zu können.<br>- Ich meine&#44; dafür sind auch nicht mehr knapp 6% von den Bauern auf zu Letzeburg biozertifiziert.<br>- Fünf.<br>- Ich arbeite auf der Post.<br>- Mehr dem Staat als Post&#44; der Urin etablissiemen publik ist&#44; der größte Patron&#44; also Employer zu Letzeburg.<br>- Post beschäftigt mehr als 4000 Leute von mehr als 40 Nationalitäten.<br>- Post bietet ein ganz paar traditionelle Stücke an.<br>- Das geht vom Postservice&#44; wie dem Verschicken von Briefen an Pack&#44; an dem Verteilen von den Dachszeitungen&#44; über Finanzservice und nicht zu vergessen Service am Telekommunikationsbereich.<br>- Außerdem gibt es auch noch spezielle Service für Leute&#44; die Tambre sammeln.<br>- Post gibt alljährlich ungefähr 30 Neutambren an Postkarten raus.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_d6b98c31df6e_B1_KAPITEL_4_B1_AUDIO_80_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Listen to texts and note your sequence of the pictures.<br>- In the framework of our broadcast in Luxembourg we have appointed a representative trade field in Luxembourg to supervise for all work-related matters.<br>- End.<br>- I am an expert and have worked for fifty years in the sanitation sector.<br>- In my work I also mix in Luxembourg with a little Russian involvement in health care.<br>- It is easier&#44; though&#44; if only 20 of daily life are found in one major profession&#44; because a surgeon&#44; clinicians and also many doctors.<br>- Many foreign doctors also come to Luxembourg for special consultations.<br>- Center of the dispatching academy will bring in again people for opportunities in clinics.<br>- That is a big relief.<br>- Two.<br>- I am an employee at a large Luxembourg bank.<br>- Luxembourg has transformed from a country of the chair industry to an important international financial center.<br>- In around 140 establishments of the banking sector&#44; about 26&#44;000 people work.<br>- Of those&#44; there are men as well as women.<br>- Most banks are German.<br>- There are French&#44; Chinese and Swiss.<br>- And in the lie Luxembourgers come.<br>- Luxembourg is also an important place for investment funds.<br>- A special legal framework has made it possible for Luxembourg to be in first place in Europe and second worldwide.<br>- Three.<br>- I work as a French professor at a state Lycée.<br>- The education system in Luxembourg is mostly public.<br>- But there are also a few private schools.<br>- Not everyone who works for a public school is a civil servant.<br>- About 10&#44;000 teachers work in primary schools and Lycées.<br>- In primary school there are not many more women than men.<br>- Of course there is also adult education in Luxembourg&#44; such as the Gull National for Adults&#44; ENAD&#44; or the National Language Institute ENL&#44; where one can learn languages.<br>- Luxembourg also founded a university in 2002&#44; which now has a good international reputation.<br>- Four.<br>- My profession as a farmer&#44; i.e.&#44; organic farmer&#44; is a family business.<br>- It was not easy to convert a business to organic.<br>- Procedures long&#44; criteria and control are strict&#44; with the Ministry of Agriculture you receive advice and subsidies that are properly regulated.<br>- This also applies to the craft beer.<br>- Nevertheless&#44; we have to do a lot as small self-employed farms to be able to survive.<br>- I mean&#44; also almost 6% of farmers in Luxembourg are organic certified.<br>- Five.<br>- I work at the post office.<br>- More the state than the postal service&#44; which is publicly established&#44; the biggest patron&#44; i.e.&#44; employer in Luxembourg.<br>- The post employs more than 4000 people from more than 40 nationalities.<br>- The post offers a few traditional items.<br>- It covers postal service&#44; such as sending letters and parcels&#44; and distribution of daily newspapers&#44; as well as financial services and not to forget service in the telecommunications sector.<br>- There are also special services for people who collect stamps.<br>- The post issues about 30 new stamps the year.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_b3a101b83f67_B1_KAPITEL_4_B1_AUDIO_80_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Sechs.<br>- Ech sinn Usträicher vu Beruff.<br>- Ech sinn de Risiko agaangen&#44; an hu mech viru fënnef Joer selbstännesch gemach.<br>- Elo hunn ech mäin eegene Betrib mat zéng Matärbeschter.<br>- Mir hunn eis op Renovéierungen spezialiséiert&#44; mir märe natierlech och aner Usträicher Ärbeschten.<br>- Zu Letze bürscht gedit méi wie 7000 Handwerksbetrieber mat rund 90.000 Beschäftegten&#44; déi a méi wie 120 verschiedenen Aktivitäten schaffen.<br>- D&#x27;Handwerk ass also e ganz vielseitische Beräich&#44; vu emmer Leid gebraucht ginn.<br>- Mir mussen de Jong motivéieren&#44; en Handwerk zu léieren.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Six.<br>- I am a craftsman from a trade.<br>- I ventured into risk and started my own business five years ago.<br>- Now I have my own company with ten master craftsmen.<br>- We specialize in renovations&#44; but we naturally also handle other craft trades.<br>- Finally&#44; there are more than 7&#44;000 tradespeople with around 90&#44;000 employees&#44; working in more than 120 different activities.<br>- The crafts sector is therefore a very diverse field&#44; always in demand.<br>- We must motivate the young to learn a trade.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Sechs.<br>- Ech sinn Usträicher vu Beruff.<br>- Ech sinn de Risiko agaangen&#44; an hu mech viru fënnef Joer selbstännesch gemach.<br>- Elo hunn ech mäin eegene Betrib mat zéng Matärbeschter.<br>- Mir hunn eis op Renovéierungen spezialiséiert&#44; mir märe natierlech och aner Usträicher Ärbeschten.<br>- Zu Letze bürscht gedit méi wie 7000 Handwerksbetrieber mat rund 90.000 Beschäftegten&#44; déi a méi wie 120 verschiedenen Aktivitäten schaffen.<br>- D&#x27;Handwerk ass also e ganz vielseitische Beräich&#44; vu emmer Leid gebraucht ginn.<br>- Mir mussen de Jong motivéieren&#44; en Handwerk zu léieren.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_b3a101b83f67_B1_KAPITEL_4_B1_AUDIO_80_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Six.<br>- I am a craftsman from a trade.<br>- I ventured into risk and started my own business five years ago.<br>- Now I have my own company with ten master craftsmen.<br>- We specialize in renovations&#44; but we naturally also handle other craft trades.<br>- Finally&#44; there are more than 7&#44;000 tradespeople with around 90&#44;000 employees&#44; working in more than 120 different activities.<br>- The crafts sector is therefore a very diverse field&#44; always in demand.<br>- We must motivate the young to learn a trade.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_45a142064aa1_B1_KAPITEL_4_B1_AUDIO_81_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lauscht de Texten nach en Kéier.<br>- Noteiert fir all Persoun dräi wichteg Informatiounen iwwer de Beräich&#44; an deem si schafft.<br>- Vergläicht mat der Nopar.<br>- Wësst Dir&#44; wéi et weidergeet?<br>- Ech hat bestëmmt de Fonctionnaire musse diffrisieren&#44; an dann schaffe mir schon eng Stonn.<br>- Zu Lëtzebuerg si bal 30 Dausend Leit am Gesondheetswiese beschäftegt.<br>- Et ass e Beräich&#44; wou iwwert de ganze Frontallien an allméigege Beruffe fonnt&#44; wéi och renomméierten&#44; klinesche Chirurgen an engem eegene Appointen an natierlecher Dokteren.<br>- Vill auslännesch Dokteren kommen just eemol d&#x27;Woch op Lëtzebuerg&#44; fir speziell Konsultatiounen.<br>- Sënten dat de Besoin eidel geet&#44; kommen no an no méi verschonsenden Klinik.<br>- Dat ass eng grouss Entlaaschtung!</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Listen to the texts again.<br>- Note for each person three important pieces of information about the field in which they work.<br>- Compare with the counterpart.<br>- Do you know how it continues?<br>- I certainly had to defrizzle the functionary&#44; and then we will have been working for an hour.<br>- In Luxembourg&#44; about 30 thousand people are employed in the health sector.<br>- It is a field where across the entire frontline and all sorts of professions one finds&#44; as well as renowned clinical surgeons in their own appointment and natural doctors.<br>- Many foreign doctors come to Luxembourg only once a week for special consultations.<br>- As long as there is need&#44; more or less more convenient clinics come and go.<br>- That is a big relief!</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lauscht de Texten nach en Kéier.<br>- Noteiert fir all Persoun dräi wichteg Informatiounen iwwer de Beräich&#44; an deem si schafft.<br>- Vergläicht mat der Nopar.<br>- Wësst Dir&#44; wéi et weidergeet?<br>- Ech hat bestëmmt de Fonctionnaire musse diffrisieren&#44; an dann schaffe mir schon eng Stonn.<br>- Zu Lëtzebuerg si bal 30 Dausend Leit am Gesondheetswiese beschäftegt.<br>- Et ass e Beräich&#44; wou iwwert de ganze Frontallien an allméigege Beruffe fonnt&#44; wéi och renomméierten&#44; klinesche Chirurgen an engem eegene Appointen an natierlecher Dokteren.<br>- Vill auslännesch Dokteren kommen just eemol d&#x27;Woch op Lëtzebuerg&#44; fir speziell Konsultatiounen.<br>- Sënten dat de Besoin eidel geet&#44; kommen no an no méi verschonsenden Klinik.<br>- Dat ass eng grouss Entlaaschtung!</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_45a142064aa1_B1_KAPITEL_4_B1_AUDIO_81_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Listen to the texts again.<br>- Note for each person three important pieces of information about the field in which they work.<br>- Compare with the counterpart.<br>- Do you know how it continues?<br>- I certainly had to defrizzle the functionary&#44; and then we will have been working for an hour.<br>- In Luxembourg&#44; about 30 thousand people are employed in the health sector.<br>- It is a field where across the entire frontline and all sorts of professions one finds&#44; as well as renowned clinical surgeons in their own appointment and natural doctors.<br>- Many foreign doctors come to Luxembourg only once a week for special consultations.<br>- As long as there is need&#44; more or less more convenient clinics come and go.<br>- That is a big relief!</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_2edc1368e375_B1_KAPITEL_4_B1_AUDIO_82_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Tess Sinon plangé bei enger großer Letzebuerger Bank.<br>- Lëtzebuerg gëtt sech vum Land vun der Stahlindustrie zu engem wichtege internationale Finanzplatz entwéckelt.<br>- An der ronn 142 Etablissementer vum Bankesektor schaffen ongeféier 26.000 Leit.<br>- Dovun sinn méi wéi 1000 Fraen.<br>- Déi meeschte Banken sinn däitsch&#44; duerno kommen déi franséisch&#44; chinesesch&#44; schweiresch&#44; an dann kommen richteg d&#x27;Lëtzebuerger.<br>- Lëtzebuerg ass awer och e wichtege Plaz fir Investmentfonde.<br>- E spezielle legale Kader mécht et méiglech&#44; datt Lëtzebuerg dofir europaweit op der éischter Plaz&#44; an der Welt op der zweeter Plaz ass.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Tess Sinon planned at a large Luxembourg bank.<br>- Luxembourg is developing from a country of steel industry into an important international financial center.<br>- In about 142 banking sector establishments&#44; around 26&#44;000 people work.<br>- Of them&#44; more than 1&#44;000 are women.<br>- The majority of banks are German&#44; then French&#44; Chinese&#44; Swiss&#44; and then come the real Luxembourgish.<br>- Luxembourg is also an important place for investment funds.<br>- A special legal framework makes it possible for Luxembourg to be in first place in Europe and second place in the world.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Tess Sinon plangé bei enger großer Letzebuerger Bank.<br>- Lëtzebuerg gëtt sech vum Land vun der Stahlindustrie zu engem wichtege internationale Finanzplatz entwéckelt.<br>- An der ronn 142 Etablissementer vum Bankesektor schaffen ongeféier 26.000 Leit.<br>- Dovun sinn méi wéi 1000 Fraen.<br>- Déi meeschte Banken sinn däitsch&#44; duerno kommen déi franséisch&#44; chinesesch&#44; schweiresch&#44; an dann kommen richteg d&#x27;Lëtzebuerger.<br>- Lëtzebuerg ass awer och e wichtege Plaz fir Investmentfonde.<br>- E spezielle legale Kader mécht et méiglech&#44; datt Lëtzebuerg dofir europaweit op der éischter Plaz&#44; an der Welt op der zweeter Plaz ass.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_2edc1368e375_B1_KAPITEL_4_B1_AUDIO_82_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Tess Sinon planned at a large Luxembourg bank.<br>- Luxembourg is developing from a country of steel industry into an important international financial center.<br>- In about 142 banking sector establishments&#44; around 26&#44;000 people work.<br>- Of them&#44; more than 1&#44;000 are women.<br>- The majority of banks are German&#44; then French&#44; Chinese&#44; Swiss&#44; and then come the real Luxembourgish.<br>- Luxembourg is also an important place for investment funds.<br>- A special legal framework makes it possible for Luxembourg to be in first place in Europe and second place in the world.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_1709e983c67b_B1_KAPITEL_4_B1_AUDIO_83_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Schafft man als Franzäischproff an engem Städtallisé?<br>- Den Enseignement zu Letzibursch ass zum gréissten Deel staatlich&#44; et gibt aber och e puer Privatschoulen.<br>- Net jidereen&#44; dee fir eng staatlech Schoul schafft&#44; ass also Staatsbeamten.<br>- Ungefähr 10.000 Enseignéier schaffen an der Grondschoul an am Lycée.<br>- An der Grondschoul sinn et vill méi Fraen wéi Männer.<br>- Natierlech gëtt et zu Letzebuerg och Bildung fir Erwuessener&#44; wéi den CNLPA&#44; ENAD&#44; oder och den Nationale Sproocheninstitut ENAL&#44; wou een Sproochen léiere kann.<br>- Ausserdeem huet Letzebuerg 2003 eng Uni kritt&#44; déi mëttlerweil international e gudde Ruff huet.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Can one work as a French teacher in a municipal school?<br>- The teaching in Luxembourg is for the most part state-run&#44; but there are also a few private schools.<br>- Not everyone who works for a public school is&#44; therefore&#44; a civil servant.<br>- About 10&#44;000 teachers work in primary and secondary education.<br>- In primary school there are many more women than men.<br>- Naturally&#44; there is also education for adults in Luxembourg&#44; such as the CNLPA&#44; ENAD&#44; or even the National Language Institute ENAL&#44; where one can learn a language.<br>- Additionally&#44; Luxembourg got a university in 2003&#44; which has since earned an international good reputation.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Schafft man als Franzäischproff an engem Städtallisé?<br>- Den Enseignement zu Letzibursch ass zum gréissten Deel staatlich&#44; et gibt aber och e puer Privatschoulen.<br>- Net jidereen&#44; dee fir eng staatlech Schoul schafft&#44; ass also Staatsbeamten.<br>- Ungefähr 10.000 Enseignéier schaffen an der Grondschoul an am Lycée.<br>- An der Grondschoul sinn et vill méi Fraen wéi Männer.<br>- Natierlech gëtt et zu Letzebuerg och Bildung fir Erwuessener&#44; wéi den CNLPA&#44; ENAD&#44; oder och den Nationale Sproocheninstitut ENAL&#44; wou een Sproochen léiere kann.<br>- Ausserdeem huet Letzebuerg 2003 eng Uni kritt&#44; déi mëttlerweil international e gudde Ruff huet.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_1709e983c67b_B1_KAPITEL_4_B1_AUDIO_83_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Can one work as a French teacher in a municipal school?<br>- The teaching in Luxembourg is for the most part state-run&#44; but there are also a few private schools.<br>- Not everyone who works for a public school is&#44; therefore&#44; a civil servant.<br>- About 10&#44;000 teachers work in primary and secondary education.<br>- In primary school there are many more women than men.<br>- Naturally&#44; there is also education for adults in Luxembourg&#44; such as the CNLPA&#44; ENAD&#44; or even the National Language Institute ENAL&#44; where one can learn a language.<br>- Additionally&#44; Luxembourg got a university in 2003&#44; which has since earned an international good reputation.</div></div>
