#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_5164c348b86c_B1_KAPITEL_2_B1_AUDIO_18_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech si net Kinoskeck.<br>- Wann ech rauskin&#44; dann am léifsten an de Kino.<br>- Mä frënn&#44; ech woch heinsto e Läng.<br>- Dat ass de Plaatzt um Kino.<br>- Et brauch ee keen fir matzegoen.<br>- Et ass super&#44; datt Filmer hei all an der Originalversioun lafen.<br>- Ech kucken alles&#44; vun Actionfilmer bis romantesch Liebesfilmer.<br>- Och Filmer an 3D kucken ech gär.<br>- Schlussde Brüll gëtt mer se op Nerven.<br>- Wat mech awer am Kino steiert&#44; ass&#44; datt Leit do heinsto mengen&#44; si wären an engem Restaurant.<br>- Popcorn oder Schipp jässe mecht ziemlech viel Kamedie&#44;<br>- an dat nervt.<br>- An nerser dem&#44; riecht et net gutt.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Não sou Kinoskeck.<br>- Quando eu saio&#44; o que eu mais gosto é no cinema.<br>- Mas meus amigos&#44; eu estou aqui e lejo um tempo.<br>- Esse é o lugar no cinema.<br>- Não precisa de ninguém para me acompanhar.<br>- É ótimo que os filmes aqui rodem todos na versão original.<br>- Eu vejo de tudo&#44; desde filmes de ação até comédias românticas.<br>- Também gosto de filmes em 3D.<br>- O barulho final me dá nos nervos.<br>- Mas o que me impede no cinema é que as pessoas acham que estão num restaurante.<br>- Comer pipoca ou batata frita faz bastante barulho&#44;<br>- e isso é irritante.<br>- Além disso&#44; cheira mal.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech si net Kinoskeck.<br>- Wann ech rauskin&#44; dann am léifsten an de Kino.<br>- Mä frënn&#44; ech woch heinsto e Läng.<br>- Dat ass de Plaatzt um Kino.<br>- Et brauch ee keen fir matzegoen.<br>- Et ass super&#44; datt Filmer hei all an der Originalversioun lafen.<br>- Ech kucken alles&#44; vun Actionfilmer bis romantesch Liebesfilmer.<br>- Och Filmer an 3D kucken ech gär.<br>- Schlussde Brüll gëtt mer se op Nerven.<br>- Wat mech awer am Kino steiert&#44; ass&#44; datt Leit do heinsto mengen&#44; si wären an engem Restaurant.<br>- Popcorn oder Schipp jässe mecht ziemlech viel Kamedie&#44;<br>- an dat nervt.<br>- An nerser dem&#44; riecht et net gutt.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_5164c348b86c_B1_KAPITEL_2_B1_AUDIO_18_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Não sou Kinoskeck.<br>- Quando eu saio&#44; o que eu mais gosto é no cinema.<br>- Mas meus amigos&#44; eu estou aqui e lejo um tempo.<br>- Esse é o lugar no cinema.<br>- Não precisa de ninguém para me acompanhar.<br>- É ótimo que os filmes aqui rodem todos na versão original.<br>- Eu vejo de tudo&#44; desde filmes de ação até comédias românticas.<br>- Também gosto de filmes em 3D.<br>- O barulho final me dá nos nervos.<br>- Mas o que me impede no cinema é que as pessoas acham que estão num restaurante.<br>- Comer pipoca ou batata frita faz bastante barulho&#44;<br>- e isso é irritante.<br>- Além disso&#44; cheira mal.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_124aede23850_B1_KAPITEL_2_B1_AUDIO_19_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech hunn en Abonnement fir an den Theater.<br>- Ech hunn de Programm selwer zesummegestallt&#44; an dofir ass en immens variéiert.<br>- Vu klenge Produktiounen&#44; iwwert Operen bis zum Ballet&#44; ech hunn alles gären.<br>- Präisser&#44; zemol sou en Abonnement&#44; sinn och zimlech sozial&#44; an de Virdel ass&#44; datt een ëmmer eng gutt Plaz huet.<br>- Leider muss ech dacks eleng goen.<br>- Mäi Frënd huet keen Abonnement a kritt net ëmmer eng Plaz.<br>- Wann e Steg an der Woch um Programm ass&#44; ass et natierlech och heiansdo ustrengend&#44; no engem laangen Aarbechtsdag nach iwwert dräi Stonnen am Theater ze sëtzen a moies nees fréi opzestoen.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Eu tenho uma assinatura para o teatro.<br>- Eu mesmo montei o programa e&#44; por isso&#44; é imenso variado.<br>- Desde pequenas produções&#44; passando por óperas até o balé&#44; eu gosto de tudo.<br>- Os preços&#44; por vezes tão uma assinatura&#44; também são bastante sociais&#44; e a vantagem é que você sempre tem um bom lugar.<br>- Infelizmente tenho que ir sozinho com frequência.<br>- Meu amigo não tem assinatura e não consegue sempre um assento.<br>- Se há uma fila durante a semana no programa&#44; é naturalmente às vezes cansativo&#44; ficar mais de três horas no teatro após um longo dia de trabalho e acordar cedo pela manhã.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech hunn en Abonnement fir an den Theater.<br>- Ech hunn de Programm selwer zesummegestallt&#44; an dofir ass en immens variéiert.<br>- Vu klenge Produktiounen&#44; iwwert Operen bis zum Ballet&#44; ech hunn alles gären.<br>- Präisser&#44; zemol sou en Abonnement&#44; sinn och zimlech sozial&#44; an de Virdel ass&#44; datt een ëmmer eng gutt Plaz huet.<br>- Leider muss ech dacks eleng goen.<br>- Mäi Frënd huet keen Abonnement a kritt net ëmmer eng Plaz.<br>- Wann e Steg an der Woch um Programm ass&#44; ass et natierlech och heiansdo ustrengend&#44; no engem laangen Aarbechtsdag nach iwwert dräi Stonnen am Theater ze sëtzen a moies nees fréi opzestoen.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_124aede23850_B1_KAPITEL_2_B1_AUDIO_19_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Eu tenho uma assinatura para o teatro.<br>- Eu mesmo montei o programa e&#44; por isso&#44; é imenso variado.<br>- Desde pequenas produções&#44; passando por óperas até o balé&#44; eu gosto de tudo.<br>- Os preços&#44; por vezes tão uma assinatura&#44; também são bastante sociais&#44; e a vantagem é que você sempre tem um bom lugar.<br>- Infelizmente tenho que ir sozinho com frequência.<br>- Meu amigo não tem assinatura e não consegue sempre um assento.<br>- Se há uma fila durante a semana no programa&#44; é naturalmente às vezes cansativo&#44; ficar mais de três horas no teatro após um longo dia de trabalho e acordar cedo pela manhã.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_b2a2df070275_B1_KAPITEL_2_B1_AUDIO_20_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Drei.<br>- Wann de mëschte Weekend ass&#44; da fanne mech a mengem Stammwischtro.<br>- Haut treffen ech meng Frënn.<br>- Mir lauschtere gutt Musek an heians du kucke mer och Fusbalsmetcher&#44; mechstens internationaler&#44; wie Champions League an EM oder WM-Matcher.<br>- De Café ass mengt spätdoheem&#44; et ass ëm renglas.<br>- Heians du geede do och Karaoke oder Salsaowenter.<br>- Mir mechdeet näischt aus&#44; wann et iwwerfällt ass&#44; mee heians du geede de Bësse heishe&#44; well de Heitze viel gedronke&#44; mee da geheert wolle dat so.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Tréier.<br>- Quando o maior fim de semana é&#44; vem me e ao meu Stammwischtro.<br>- Hoje encontro meus amigos.<br>- Nós escutamos boa música e quando você também Look at me fusbalmetcher&#44; principalmente internacional&#44; como Champions League e EM ou WM-Matcher.<br>- O Café é meu retrocesso tardio&#44; é de limpar.<br>- Hoje você também pode fazer Karaoke ou Salsaowenter.<br>- Eu não me importo se for atacado&#44; mas hoje você faz o pouco morna&#44; porque o calor bebeu muita coisa&#44; mas vão ouvir isso.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Drei.<br>- Wann de mëschte Weekend ass&#44; da fanne mech a mengem Stammwischtro.<br>- Haut treffen ech meng Frënn.<br>- Mir lauschtere gutt Musek an heians du kucke mer och Fusbalsmetcher&#44; mechstens internationaler&#44; wie Champions League an EM oder WM-Matcher.<br>- De Café ass mengt spätdoheem&#44; et ass ëm renglas.<br>- Heians du geede do och Karaoke oder Salsaowenter.<br>- Mir mechdeet näischt aus&#44; wann et iwwerfällt ass&#44; mee heians du geede de Bësse heishe&#44; well de Heitze viel gedronke&#44; mee da geheert wolle dat so.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_b2a2df070275_B1_KAPITEL_2_B1_AUDIO_20_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Tréier.<br>- Quando o maior fim de semana é&#44; vem me e ao meu Stammwischtro.<br>- Hoje encontro meus amigos.<br>- Nós escutamos boa música e quando você também Look at me fusbalmetcher&#44; principalmente internacional&#44; como Champions League e EM ou WM-Matcher.<br>- O Café é meu retrocesso tardio&#44; é de limpar.<br>- Hoje você também pode fazer Karaoke ou Salsaowenter.<br>- Eu não me importo se for atacado&#44; mas hoje você faz o pouco morna&#44; porque o calor bebeu muita coisa&#44; mas vão ouvir isso.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_132ab17a2e4b_B1_KAPITEL_2_B1_AUDIO_21_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Feier!<br>- No enger langer Schaffwoch kënne Fräides oder Samschdes Owes d&#x27;Sonskier mam menger Mamm an der Restaurant iessen.<br>- Natierlech kënne mer dat net all Woch gemaachen&#44; et gëtt ze deier.<br>- Mee vun Zäit zu Zäit ass dat eng flott Ofwiesslung.<br>- Mir probéieren&#44; dat eppes Neies aus&#44; oft kënne mir Frënn mat&#44;<br>- an dat ass richteg gemittlech.<br>- A verschiddene Restoren musse mer allerdéngs mat Zäit reservéieren&#44;<br>- soss fënnt e kee Tisch méi.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Bom dia!<br>- Em uma longa semana de trabalho&#44; às sextas ou aos sábados à noite&#44; posso comer sushi com minha mãe no restaurante.<br>- Claro que não podemos fazer isso toda semana&#44; é caro demais.<br>- Mas de vez em quando é uma boa variação.<br>- Tentamos que seja algo novo&#44; muitas vezes podemos trazer amigos&#44;<br>- e isso é realmente confortável.<br>- Em alguns restaurantes&#44; no entanto&#44; é necessário reservar com antecedência&#44;<br>- senão não há mesa.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Feier!<br>- No enger langer Schaffwoch kënne Fräides oder Samschdes Owes d&#x27;Sonskier mam menger Mamm an der Restaurant iessen.<br>- Natierlech kënne mer dat net all Woch gemaachen&#44; et gëtt ze deier.<br>- Mee vun Zäit zu Zäit ass dat eng flott Ofwiesslung.<br>- Mir probéieren&#44; dat eppes Neies aus&#44; oft kënne mir Frënn mat&#44;<br>- an dat ass richteg gemittlech.<br>- A verschiddene Restoren musse mer allerdéngs mat Zäit reservéieren&#44;<br>- soss fënnt e kee Tisch méi.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_132ab17a2e4b_B1_KAPITEL_2_B1_AUDIO_21_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Bom dia!<br>- Em uma longa semana de trabalho&#44; às sextas ou aos sábados à noite&#44; posso comer sushi com minha mãe no restaurante.<br>- Claro que não podemos fazer isso toda semana&#44; é caro demais.<br>- Mas de vez em quando é uma boa variação.<br>- Tentamos que seja algo novo&#44; muitas vezes podemos trazer amigos&#44;<br>- e isso é realmente confortável.<br>- Em alguns restaurantes&#44; no entanto&#44; é necessário reservar com antecedência&#44;<br>- senão não há mesa.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_587ad2af70d3_B1_KAPITEL_2_B1_AUDIO_22_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Fënnef.<br>- Es gibt nämlich manches an dem Musée.<br>- Och Surfemusee.<br>- Leider hunn Museen owes net emmer lang op.<br>- Mä wann eng Nokthüren wäitnüdem Musée ass&#44; da profiteiren ech.<br>- Es gibt nämlich am nächsten Owes an dem Musée.<br>- Dann ass eng aner Ambiance.<br>- Es gibt och tagsa Galerien.<br>- Do gesäit eu mir oft eppes Neues.<br>- Meng Frënn fann net kommen&#44; dat ech so füll an dem Musée ginn.<br>- Mä fir mech ass dat wéi rausgoen.<br>- Heinst do kann e Jorine variëte matzegoen.<br>- Mä meistens ginn se lang.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Cinco.<br>- Há muito o que há no museu.<br>- Também museus.<br>- Infelizmente&#44; os museus nem sempre ficam abertos à noite.<br>- Mas quando uma porta está longe do museu&#44; eu lucro.<br>- Há de facto amanhã à noite no museu.<br>- Então há outra atmosfera.<br>- Também há galerias durante o dia.<br>- Lá eu vejo muitas coisas novas.<br>- Meus amigos não podem vir quando eu vou tanto ao museu.<br>- Mas para mim é como sair.<br>- Aqui então pode um Jorine variar conosco.<br>- Mas na maioria das vezes eles são longos.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Fënnef.<br>- Es gibt nämlich manches an dem Musée.<br>- Och Surfemusee.<br>- Leider hunn Museen owes net emmer lang op.<br>- Mä wann eng Nokthüren wäitnüdem Musée ass&#44; da profiteiren ech.<br>- Es gibt nämlich am nächsten Owes an dem Musée.<br>- Dann ass eng aner Ambiance.<br>- Es gibt och tagsa Galerien.<br>- Do gesäit eu mir oft eppes Neues.<br>- Meng Frënn fann net kommen&#44; dat ech so füll an dem Musée ginn.<br>- Mä fir mech ass dat wéi rausgoen.<br>- Heinst do kann e Jorine variëte matzegoen.<br>- Mä meistens ginn se lang.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_587ad2af70d3_B1_KAPITEL_2_B1_AUDIO_22_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Cinco.<br>- Há muito o que há no museu.<br>- Também museus.<br>- Infelizmente&#44; os museus nem sempre ficam abertos à noite.<br>- Mas quando uma porta está longe do museu&#44; eu lucro.<br>- Há de facto amanhã à noite no museu.<br>- Então há outra atmosfera.<br>- Também há galerias durante o dia.<br>- Lá eu vejo muitas coisas novas.<br>- Meus amigos não podem vir quando eu vou tanto ao museu.<br>- Mas para mim é como sair.<br>- Aqui então pode um Jorine variar conosco.<br>- Mas na maioria das vezes eles são longos.</div></div>
